code,name,price,change,jinge,jingzhanbi
600422,昆药集团,9.45,3.28,940,3.01
603081,大丰实业,27.96,6.72,937,2.71
600727,鲁北化工,8.93,19.39,934,1.16
600532,宏达矿业,11.38,13.69,933,4.79
300366,创意信息,11.94,-0.67,930,6.02
002898,赛隆药业,22.00,9.45,925,2.34
300263,隆华节能,7.18,0.00,923,1.68
300722,新余国科,37.29,10.33,916,1.05
300677,英科医疗,59.40,13.04,913,0.83
000020,深华发A,14.92,5.44,911,6.03
002288,超华科技,5.86,3.17,908,5.39
000935,四川双马,18.53,11.02,906,0.49
300288,朗玛信息,24.92,4.53,898,2.14
002376,新北洋,11.60,4.41,898,2.75
603900,莱绅通灵,32.55,12.28,891,2.09
603268,松发股份,27.71,-3.21,891,11.85
002395,双象股份,12.61,4.39,888,5.97
300219,鸿利智汇,11.85,5.52,887,5.22
601669,中国电建,7.54,4.43,881,1.30
002485,希努尔,25.78,-1.87,871,10.53
300506,名家汇,23.07,3.69,864,3.29
002638,勤上股份,4.75,3.71,861,2.12
000913,钱江摩托,19.90,0.00,859,4.63
600721,百花村,11.44,9.89,847,6.81
002644,佛慈制药,9.79,3.05,846,10.89
600550,保变电气,7.18,15.06,843,0.76
603039,泛微网络,70.99,11.46,842,4.92
600707,彩虹股份,7.42,0.41,841,3.81
600593,大连圣亚,28.10,1.30,837,4.01
600212,江泉实业,9.62,2.34,836,3.32
002263,大东南,3.06,-,827,1.04
300202,聚龙股份,18.40,2.51,820,3.77
000565,渝三峡A,7.60,6.29,815,4.53
000975,银泰资源,14.03,5.01,808,1.81
002851,麦格米特,36.50,6.32,805,6.47
002705,新宝股份,12.95,5.37,803,4.87
300093,金刚玻璃,11.54,2.12,803,5.75
002240,威华股份,14.88,0.40,797,2.17
000068,华控赛格,5.47,8.32,792,4.90
600697,欧亚集团,26.07,1.36,787,4.84
002801,微光股份,36.30,6.11,783,7.02
002659,中泰桥梁,13.69,8.74,781,6.91
002276,万马股份,8.91,3.36,773,2.15
002136,安纳达,14.99,5.27,772,2.22
600790,轻纺城,6.14,3.02,771,6.25
002318,久立特材,7.29,2.82,764,4.57
600193,创兴资源,5.59,3.52,762,6.91
002737,葵花药业,33.18,7.66,761,3.71
600350,山东高速,6.17,3.01,759,1.64
603260,合盛硅业,61.82,8.95,757,0.24
300705,九典制药,30.18,15.46,751,1.70
000045,深纺织A,10.03,2.87,745,4.43
600284,浦东建设,9.75,4.84,745,2.61
600779,水井坊,46.90,0.21,734,0.44
603198,迎驾贡酒,17.96,2.10,730,3.04
600571,信雅达,11.23,5.05,728,1.90
600789,鲁抗医药,8.44,6.16,728,0.75
601311,骆驼股份,13.35,0.75,727,2.42
600321,正源股份,4.12,3.78,722,6.04
002726,龙大肉食,12.58,10.16,721,2.24
601958,金钼股份,7.56,4.56,720,1.15
000153,丰原药业,8.43,6.57,720,6.25
600897,厦门空港,23.07,2.62,717,4.75
600393,粤泰股份,6.98,10.09,717,1.61
600060,海信电器,15.78,5.06,717,0.77
600736,苏州高新,6.36,7.61,705,3.07
600683,京投发展,6.16,8.64,702,5.09
600353,旭光股份,6.50,6.56,700,1.72
600177,雅戈尔,9.60,4.69,696,0.89
002607,亚夏汽车,-,-,691,9.85
603959,百利科技,32.62,5.29,689,2.93
600998,九州通,19.00,0.26,689,3.09
300716,国立科技,28.27,9.07,682,0.96
600183,生益科技,18.33,6.20,680,0.23
600831,广电网络,8.31,1.71,679,7.64
300412,迦南科技,-,-,677,11.11
600077,宋都股份,3.95,10.96,676,3.75
